Fleet,Unit,LogNumber,Cap cost,Residual value,Insurance Premium,Interest Rate,Term,EBO Term,Date of start,Method,Maukup Pay Type,Origination fee,Ocuped
M1427,32S,101000894,179187.93,35482.76,42063.681,0,50,48,3/13/2017,51,1,0,0
M1427,31S,101000746,179187.93,35482.76,42063.681,0,50,48,2/13/2017,51,1,0,0
M1481,245,101000747,169185.28,58830,0,0,38,36,3/13/2017,51,1,0,0
M2230,24S,101000748,478686.25,141483.62,0,0,38,36,3/28/2017,51,1,0,0
M2268,1,101000749,458578.08,176657.67,0,0,38,36,3/17/2017,51,1,0,0
M2279,1,101000750,458578.08,176657.67,0,0,38,36,3/17/2017,51,1,0,0
M1812,32,101000751,723712.07,217113.62,929.0947294,0,38,36,3/11/2017,51,1,0,0
M286,200,101000752,138323.28,1886.61,0,0,37,36,3/29/2017,51,1,0,0
M1768,53S,101000753,144719.03,0.14,32867.4137,0,50,48,4/1/2017,51,1,0,0
M1768,54S,101000754,144719.03,0.14,32867.4137,0,50,48,4/1/2017,51,1,0,0
M1764,217S,101000755,194698.97,0.19,0,0,50,48,4/1/2017,51,1,0,0
M1764,218S,101000756,194698.97,0.19,0,0,50,48,4/1/2017,51,1,0,0
M1764,219S,101000757,118863.11,0.12,0,0,38,36,4/1/2017,51,1,0,0
M1764,220S,101000758,118863.11,0.12,0,0,38,36,4/1/2017,51,1,0,0
M286,198,101000759,151181.03,2061.98,0,0,37,36,3/29/2017,51,1,0,0
M286,199,101000760,151181.03,2061.98,0,0,50,48,3/29/2017,51,1,0,0
M1764,221S,101000761,226407.08,0.23,0,0,50,48,4/1/2017,51,1,0,0
M127,882,101000762,309925,4709.93,0,0,38,36,3/30/2017,51,1,0,0
M127,883,101000763,309925,4709.93,0,0,38,36,3/30/2017,51,1,0,0
M167,241,101000764,623264.66,3175.81,83761.25,0,50,48,3/24/2017,51,1,0,0
M167,242,101000765,831019.83,4818.49,0,0,38,36,3/24/2017,51,1,0,0
M167,243,101000766,772068.97,3872.54,83761.25,0,50,48,3/27/2017,51,1,0,0
M167,244,101000767,772068.97,3872.54,83761.25,0,50,48,3/27/2017,51,1,0,0
M770,551,101000769,267214.66,52913.79,32867.4137,0,50,48,3/18/2017,51,1,0,0
M795,340,101000770,400914.3,98504.74,929.0947294,0,38,36,3/30/2017,51,1,0,0
M929,261,101000772,306600.38,91522.5,929.0947294,0,38,36,3/15/2017,51,1,0,0
M947,1386,101000773,180075,44353.45,42063.681,0,50,48,4/5/2017,51,1,0,0
M981,570,101000774,312912.22,45569.74,929.0947294,0,38,36,3/28/2017,51,1,0,0
M981,425663,101000775,416439.66,60646.55,0,0,38,36,3/22/2017,51,1,0,0
M1273,2936,101000776,144108.72,30676.61,0,0,48,0,3/28/2017,51,1,0,0
M1273,3016,101000777,237649.52,50588.76,0,0,50,48,3/27/2017,51,1,0,0
M1273,3017,101000778,237649.52,50588.76,0,0,50,48,3/27/2017,51,1,0,0
M1273,3029,101000779,237649.52,50588.76,0,0,48,0,3/27/2017,51,1,0,0
M1614,42S,101000780,183706.25,1622.53,0,0,50,48,3/29/2017,51,1,0,0
M1674,987,101000781,180232.76,55541.58,32867.4137,0,50,48,4/4/2017,51,1,0,0
M1674,996,101000783,289068.97,90012.78,0,0,38,36,4/1/2017,51,1,0,0
M1674,999,101000784,180232.76,56521.55,0,0,38,36,4/6/2017,51,1,0,0
M1674,1008,101000785,459724.14,160318.1,0,0,38,36,3/28/2017,51,1,0,0
M1674,1009,101000786,180232.76,63848.51,32867.4137,0,50,48,3/1/2017,51,1,0,0
M1675,321,101000787,147564.48,45292.07,0,0,37,36,3/1/2017,51,1,0,0
M1683,25S,101000788,197837.5,38982.76,0,0,50,48,4/4/2017,51,1,0,0
M1683,26S,101000789,129093.13,25437.07,0,0,37,36,4/1/2017,51,1,0,0
M1683,27S,101000790,129093.13,25437.07,0,0,37,36,4/4/2017,51,1,0,0
M1683,28S,101000791,129093.13,25437.07,0,0,37,36,4/4/2017,51,1,0,0
M1683,29S,101000792,129093.13,25437.07,0,0,37,36,4/5/2017,51,1,0,0
M1683,30S,101000793,129093.13,25437.07,0,0,37,36,4/4/2017,51,1,0,0
M1683,426077S,101000794,285943.88,56343.62,0,0,38,36,4/7/2017,51,1,0,0
M1754,1789,101000795,157483.38,40540.28,0,0,37,36,4/4/2017,51,1,0,0
M1754,1790,101000796,157483.38,40540.28,0,0,37,36,3/28/2017,51,1,0,0
M1754,1795,101000797,157483.38,40540.28,0,0,50,48,3/29/2017,51,1,0,0
M1754,1798,101000798,157483.38,40540.28,0,0,37,36,3/29/2017,51,1,0,0
M1754,1826,101000799,454796.03,117076.21,32867.4137,0,50,48,4/7/2016,51,1,0,0
M1754,1827,101000800,454796.03,117076.21,32867.4137,0,50,48,4/8/2017,51,1,0,0
M1754,1829,101000801,454796.03,117076.21,32867.4137,0,50,48,3/31/2017,51,1,0,0
M1755,853,101000802,275876.28,103795.03,0,0,50,48,4/3/2017,51,1,0,0
M1757,77,101000803,275876.28,103795.03,0,0,50,48,3/24/2017,51,1,0,0
M1828,92,101000804,231172.41,86689.66,83761.25,0,50,48,3/29/2017,51,1,0,0
M1845,426171S,101000805,457334.09,181122.41,83761.25,0,50,48,4/6/2017,51,1,0,0
M1870,116S,101000806,279482.76,111793.1,42063.681,0,50,48,3/24/2017,51,1,0,0
M1870,117S,101000807,279482.76,111793.1,42063.681,0,50,48,3/27/2017,51,1,0,0
M1870,118S,101000808,279482.76,111793.1,42063.681,0,50,48,3/24/2017,51,1,0,0
M1870,119S,101000809,294051.72,117620.69,42063.681,0,50,48,3/24/2017,51,1,0,0
M1890,424,101000811,185900.86,65065.3,32867.4137,0,50,48,3/15/2017,51,1,0,0
M1893,863,101000812,161290.91,55892.89,32867.4137,0,50,48,3/31/2017,51,1,0,0
M1893,864,101000813,161290.91,55892.89,32867.4137,0,50,48,3/31/2017,51,1,0,0
M1893,867,101000814,161290.91,55892.89,32867.4137,0,50,48,4/19/2017,51,1,0,0
M1969,108S,101000815,210389.38,62184.05,0,0,50,48,3/24/2017,51,1,0,0
M1982,20S,101000816,606287.5,179198.28,0,0,38,36,3/27/2017,51,1,0,0
M1982,21S,101000817,606287.5,179198.28,0,0,38,36,3/27/2017,51,1,0,0
M2024,174,101000818,173242.24,25986.34,0,0,38,36,3/28/2017,51,1,0,0
M2024,175,101000819,173242.24,25986.34,0,0,38,36,3/28/2017,51,1,0,0
