FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC
M1427,32S,101000894,179187.93,176313.83,3461.59,50,1,,42063.681,2589,Markup,20170401,1,1,0.54,51,1,N,Y
M1427,32S,101000894,179187.93,173439.73,3461.59,50,2,,42063.681,2589,Markup,20170501,2,2,0.54,51,2,N,Y
M1427,32S,101000894,179187.93,170565.63,3461.59,50,3,,42063.681,2589,Markup,20170601,3,3,0.54,51,3,N,Y
M1427,32S,101000894,179187.93,167691.53,3461.59,50,4,,42063.681,2589,Markup,20170701,4,4,0.54,51,4,N,Y
M1427,32S,101000894,179187.93,164817.43,3461.59,50,5,,42063.681,2589,Markup,20170801,5,5,0.54,51,5,N,Y
M1427,32S,101000894,179187.93,161943.33,3461.59,50,6,,42063.681,2589,Markup,20170901,6,6,0.54,51,6,N,Y
M1427,32S,101000894,179187.93,159069.23,3461.59,50,7,,42063.681,2589,Markup,20171001,7,7,0.54,51,7,N,Y
M1427,32S,101000894,179187.93,156195.13,3461.59,50,8,,42063.681,2589,Markup,20171101,8,8,0.54,51,8,N,Y
M1427,32S,101000894,179187.93,153321.03,3461.59,50,9,,42063.681,2589,Markup,20171201,9,9,0.54,51,9,N,Y
M1427,32S,101000894,179187.93,150446.93,3461.59,50,10,,42063.681,2589,Markup,20180101,10,10,0.54,51,10,N,Y
M1427,32S,101000894,179187.93,147572.83,3461.59,50,11,,42063.681,2589,Markup,20180201,11,11,0.54,51,11,N,Y
M1427,32S,101000894,179187.93,144698.73,3461.59,50,12,,42063.681,2589,Markup,20180301,12,12,0.54,51,12,N,Y
M1427,32S,101000894,179187.93,141824.63,3461.59,50,13,,42063.681,2589,Markup,20180401,13,13,0.54,51,13,N,Y
M1427,32S,101000894,179187.93,138950.53,3461.59,50,14,,42063.681,2589,Markup,20180501,14,14,0.54,51,14,N,Y
M1427,32S,101000894,179187.93,136076.43,3461.59,50,15,,42063.681,2589,Markup,20180601,15,15,0.54,51,15,N,Y
M1427,32S,101000894,179187.93,133202.33,3461.59,50,16,,42063.681,2589,Markup,20180701,16,16,0.54,51,16,N,Y
M1427,32S,101000894,179187.93,130328.23,3461.59,50,17,,42063.681,2589,Markup,20180801,17,17,0.54,51,17,N,Y
M1427,32S,101000894,179187.93,127454.13,3461.59,50,18,,42063.681,2589,Markup,20180901,18,18,0.54,51,18,N,Y
M1427,32S,101000894,179187.93,124580.03,3461.59,50,19,,42063.681,2589,Markup,20181001,19,19,0.54,51,19,N,Y
M1427,32S,101000894,179187.93,121705.93,3461.59,50,20,,42063.681,2589,Markup,20181101,20,20,0.54,51,20,N,Y
