FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC
M2265,1S,101000838,380278.06,227790.31,8659.87,50,25,,83761.25,2868,Interest,20190401,25,25,2632.77,51,25,Y,Y
M2265,1S,101000838,380278.06,221690.8,8659.87,50,26,,83761.25,2868,Interest,20190501,26,26,2570.48,51,26,Y,Y
M2265,1S,101000838,380278.06,215591.29,8659.87,50,27,,83761.25,2868,Interest,20190601,27,27,2507.53,51,27,Y,Y
M2265,1S,101000838,380278.06,209491.78,8659.87,50,28,,83761.25,2868,Interest,20190701,28,28,2443.93,51,28,Y,Y
M2265,1S,101000838,380278.06,203392.27,8659.87,50,29,,83761.25,2868,Interest,20190801,29,29,2379.65,51,29,Y,Y
M2265,1S,101000838,380278.06,197292.76,8659.87,50,30,,83761.25,2868,Interest,20190901,30,30,2314.71,51,30,Y,Y
M2265,1S,101000838,380278.06,191193.25,8659.87,50,31,,83761.25,2868,Interest,20191001,31,31,2249.08,51,31,Y,Y
M2265,1S,101000838,380278.06,185093.74,8659.87,50,32,,83761.25,2868,Interest,20191101,32,32,2182.76,51,32,Y,Y
M2265,1S,101000838,380278.06,178994.23,8659.87,50,33,,83761.25,2868,Interest,20191201,33,33,2115.75,51,33,Y,Y
M2265,1S,101000838,380278.06,172894.72,8659.87,50,34,,83761.25,2868,Interest,20200101,34,34,2048.04,51,34,Y,Y
M2265,1S,101000838,380278.06,166795.21,8659.87,50,35,,83761.25,2868,Interest,20200201,35,35,1979.61,51,35,Y,Y
M2265,1S,101000838,380278.06,160695.7,8659.87,50,36,,83761.25,2868,Interest,20200301,36,36,1910.47,51,36,Y,Y
M2265,1S,101000838,380278.06,154596.19,8659.87,50,37,,83761.25,2868,Interest,20200401,37,37,1840.6,51,37,Y,Y
M2265,1S,101000838,380278.06,148496.68,8659.87,50,38,,83761.25,2868,Interest,20200501,38,38,1769.99,51,38,Y,Y
M2265,1S,101000838,380278.06,142397.17,8659.87,50,39,,83761.25,2868,Interest,20200601,39,39,1698.65,51,39,Y,Y
M2265,1S,101000838,380278.06,136297.66,8659.87,50,40,,83761.25,2868,Interest,20200701,40,40,1626.56,51,40,Y,Y
M2265,1S,101000838,380278.06,130198.15,8659.87,50,41,,83761.25,2868,Interest,20200801,41,41,1553.71,51,41,Y,Y
M2265,1S,101000838,380278.06,124098.64,8659.87,50,42,,83761.25,2868,Interest,20200901,42,42,1480.1,51,42,Y,Y
M2265,1S,101000838,380278.06,117999.13,8659.87,50,43,,83761.25,2868,Interest,20201001,43,43,1405.72,51,43,Y,Y
M2265,1S,101000838,380278.06,111899.62,8659.87,50,44,,83761.25,2868,Interest,20201101,44,44,1330.55,51,44,Y,Y
M2265,1S,101000838,380278.06,105800.11,8659.87,50,45,,83761.25,2868,Interest,20201201,45,45,1254.6,51,45,Y,Y
M2265,1S,101000838,380278.06,99700.6,8659.87,50,46,,83761.25,2868,Interest,20210101,46,46,1177.85,51,46,Y,Y
M2265,1S,101000838,380278.06,93601.09,8659.87,50,47,,83761.25,2868,Interest,20210201,47,47,1100.29,51,47,Y,Y
M2265,1S,101000838,380278.06,87501.58,8659.87,50,48,,83761.25,2868,Interest,20210301,48,48,1021.92,51,48,Y,Y
M2265,1S,101000838,380278.06,81402.07,8659.87,50,49,,83761.25,2868,Interest,20210401,49,49,942.73,51,49,Y,Y
M2265,1S,101000838,380278.06,75302.56,8659.87,50,50,,83761.25,2868,Interest,20210501,50,50,862.71,51,50,Y,Y
M2265,1S,101000838,380278.06,69203.05,8659.87,50,51,,83761.25,2868,Interest,20210601,51,999,0,51,51,Y,Y
M2265,1S,101000838,380278.06,374178.55,8659.87,50,1,,83761.25,2896,Amrt FN SG,20170401,1,1,2139,51,1,Y,Y
