FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
127,722,9235608,252910.00,247961.16,6360.92,36,1,,0,2862,Amort,20141001,1,1,4948.84,,1.00,N,Y,21075.83892
127,722,9235608,252910.00,243012.32,6333.29,36,2,,0,2862,Amort,20141101,2,2,4948.84,,2.00,N,Y,1384.449804
127,722,9235608,252910.00,238063.48,6305.66,36,3,,0,2862,Amort,20141201,3,3,4948.84,,3.00,N,Y,1356.81878
127,722,9235608,252910.00,233114.64,6278.03,36,4,,0,2862,Amort,20150101,4,4,4948.84,,4.00,N,Y,1329.187757
127,722,9235608,252910.00,228165.80,6250.40,36,5,,0,2862,Amort,20150201,5,5,4948.84,,5.00,N,Y,1301.556734
127,722,9235608,252910.00,223216.96,6222.77,36,6,,0,2862,Amort,20150301,6,6,4948.84,,6.00,N,Y,1273.92571
127,722,9235608,252910.00,218268.12,6195.14,36,7,,0,2862,Amort,20150401,7,7,4948.84,,7.00,N,Y,1246.294687
127,722,9235608,252910.00,213319.28,6167.50,36,8,,0,2862,Amort,20150501,8,8,4948.84,,8.00,N,Y,1218.663664
127,722,9235608,252910.00,208370.44,6139.87,36,9,,0,2862,Amort,20150601,9,9,4948.84,,9.00,N,Y,1191.03264
127,722,9235608,252910.00,203421.60,6112.24,36,10,,0,2862,Amort,20150701,10,10,4948.84,,10.00,N,Y,1163.401617
127,722,9235608,252910.00,198472.76,6084.61,36,11,,0,2862,Amort,20150801,11,11,4948.84,,11.00,N,Y,1135.770594
127,722,9235608,252910.00,193523.92,6056.98,36,12,,0,2862,Amort,20150901,12,12,4948.84,,12.00,N,Y,1108.13957
127,722,9235608,252910.00,188575.08,6029.35,36,13,,0,2862,Amort,20151001,13,13,4948.84,,13.00,N,Y,1080.508547
127,722,9235608,252910.00,183626.24,6001.72,36,14,,0,2862,Amort,20151101,14,14,4948.84,,14.00,N,Y,1052.877524
