FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
795,121,8764851,389598.11,383475.74,8242.27,48,1,,0,2862,Amort,20130201,1,1,8174.42,51,1.00,N,Y,
795,121,8764851,389598.11,377353.37,8242.27,48,2,,0,2862,Amort,20130301,2,2,5008.60,51,2.00,N,Y,
795,121,8764851,389598.11,371231.00,8242.27,48,3,,0,2862,Amort,20130401,3,3,5050.17,51,3.00,N,Y,
795,121,8764851,389598.11,365108.63,8242.27,48,4,,0,2862,Amort,20130501,4,4,5092.09,51,4.00,N,Y,
795,121,8764851,389598.11,358986.26,8242.27,48,5,,0,2862,Amort,20130601,5,5,5134.35,51,5.00,N,Y,
795,121,8764851,389598.11,352863.89,8242.27,48,6,,0,2862,Amort,20130701,6,6,5176.97,51,6.00,N,Y,
795,121,8764851,389598.11,346741.52,8242.27,48,7,,0,2862,Amort,20130801,7,7,5219.94,51,7.00,N,Y,
795,121,8764851,389598.11,340619.15,8242.27,48,8,,0,2862,Amort,20130901,8,8,5263.26,51,8.00,N,Y,
795,121,8764851,389598.11,334496.78,8242.27,48,9,,0,2862,Amort,20131001,9,9,5306.95,51,9.00,N,Y,
795,121,8764851,389598.11,328374.41,8242.27,48,10,,0,2862,Amort,20131101,10,10,5351.00,51,10.00,N,Y,
795,121,8764851,389598.11,322252.04,8242.27,48,11,,0,2862,Amort,20131201,11,11,5395.41,51,11.00,N,Y,
795,121,8764851,389598.11,316129.67,8242.27,48,12,,0,2862,Amort,20140101,12,12,5440.19,51,12.00,N,Y,
795,121,8764851,389598.11,310007.30,8242.27,48,13,,0,2862,Amort,20140201,13,13,5485.34,51,13.00,N,Y,
795,121,8764851,389598.11,303884.93,8242.27,48,14,,0,2862,Amort,20140301,14,14,5530.87,51,14.00,N,Y,
